ID,SMILES,Name
310,CC(ON)C(=O)O,EN300-139873
311,N[C@H](CC(=O)O)c1ccccc1,EN300-70533
312,NCCCCCCCC(=O)O,EN300-96214
313,C=CC[C@@H](N)C(=O)O,EN300-102381
314,NC(Cc1cccc(Cl)c1)C(=O)O,EN300-147660
315,NC(C(=O)O)C1CC1,EN300-64970
316,COCC(N)C(=O)O,EN300-111664
317,NC1(C(F)(F)F)CC2(CC(C(=O)O)C2)C1,EN300-146249
318,NC1(C(=O)O)CCC(c2ccccc2)CC1,EN300-72408
319,NC(CC(F)(F)F)C(=O)O,EN300-132571
320,NC(C(=O)O)C1CCOC2(CCC2)C1,EN300-156366
321,CC(CC(C)(C)N)C(=O)O,EN300-156239
322,NC1(C(=O)O)Cc2ccccc2C1,EN300-157300
323,CCOC1CC(N)(C(=O)O)C1(C)C,EN300-157487
324,NC(c1ccccc1)C(Cc1ccccc1)C(=O)O,EN300-157544
325,Nc1nccc(C(F)(F)F)c1C(=O)O,EN300-135200
326,NC1(CC(=O)O)CCc2ccccc2C1,EN300-157861
327,COc1ccc(Br)c(N)c1C(=O)O,EN300-170665
328,NCCCC(Cc1ccccc1)C(=O)O,EN300-175151
329,Nc1c(Br)cccc1CC(=O)O,EN300-156801
330,NC(C(=O)O)C(O)Cc1ccccc1,EN300-184455
331,Nc1c(Cl)cc(F)cc1C(=O)O,EN300-126184
332,NC(CC1CCCCC1)C(=O)O,EN300-177746
333,CC(CN)(Cc1ccccc1)C(=O)O,EN300-177975
334,Nc1c(F)cc(C(=O)O)cc1F,EN300-98413
335,CC(C)=CSCC(N)C(=O)O,EN300-182576
336,Nc1c(Br)cc(C(=O)O)cc1Br,EN300-105793
337,Nc1nnc(CCC(=O)O)[nH]1,EN300-182955
338,COc1cc(N)c([N+](=O)[O-])cc1C(=O)O,EN300-133638
339,Nc1ccc(C(=O)O)c(O)c1Cl,EN300-177150
340,Nc1cc(C(=O)O)ccc1O,EN300-24391
341,COc1c(Cl)ccc(C(=O)O)c1N,EN300-179764
342,CC(C)CC(CN)C(=O)O,EN300-192600
343,COc1ccc(C(N)CC(=O)O)cc1O,EN300-186700
344,N[C@@H](Cc1ccc(O)c([N+](=O)[O-])c1)C(=O)O,EN300-187667
345,Nc1cc(CC(=O)O)ccc1[N+](=O)[O-],EN300-188867
347,COc1cccc(CC(N)C(=O)O)c1O,EN300-173093
348,Nc1c(C(=O)O)cnn1-c1ccccc1F,EN300-143677
349,NCc1cc(C(=O)O)ccn1,EN300-190800
350,NC1(CC(=O)O)CCCCC1,EN300-191481
351,Nc1nc(C(=O)O)c(-c2cccc(F)c2)s1,EN300-186605
352,Nc1c(C(=O)O)cnn1-c1cc(F)cc(F)c1,EN300-186617
353,Nc1c(C(=O)O)cnn1-c1ccc(F)cc1F,EN300-186624
354,CC(N)(C(=O)O)c1cc(Br)ccc1F,EN300-195764
355,Nc1c(C(=O)O)ccnc1-c1ccccc1,EN300-194899
356,CC[C@@H](C)[C@H](N)C(=O)O,EN300-99057
357,Cc1c(CC(N)C(=O)O)ccc(O)c1O,EN300-192819
358,NC1(CC(=O)O)CCOCC1,EN300-149700
359,CC(C)c1sc(N)nc1C(=O)O,EN300-175379
360,COc1ccc2c(c1)CCCC2(N)C(=O)O,EN300-199467
361,CSCC(N)C(=O)O,EN300-49161
362,Nc1ccccc1Sc1ccccc1C(=O)O,EN300-200869
363,CCC(N)(CC)C(=O)O,EN300-202585
364,NC1(C(=O)O)CCS(=O)(=O)C1,EN300-205770
365,CC1(C)CCC(N)(C(=O)O)CC1,EN300-197575
366,CC(C)C(ON)C(=O)O,EN300-206507
367,Nc1ccccc1CCCC(=O)O,EN300-198131
368,COCC(N)(C(=O)O)c1ccccc1,EN300-202197
369,Nc1ccccc1S(=O)(=O)NCC(=O)O,EN300-201550
370,Nc1cc(F)c(C(=O)O)cc1[N+](=O)[O-],EN300-132578
371,CC(C)Oc1c(N)cccc1C(=O)O,EN300-198435
372,CC(N)(CCc1ccc(O)cc1)C(=O)O,EN300-198237
373,Cc1c(Br)cc(N)cc1C(=O)O,EN300-204727
374,Nc1ccc(Cl)cc1C(=O)Nc1ccccc1C(=O)O,EN300-211207
375,NC1C2CC3CC1CC(C(=O)O)(C3)C2,EN300-211272
376,NC1(C(=O)O)CCS(=O)(=O)C1,EN300-205771
377,CC(C)(C)CCC(C)(N)C(=O)O,EN300-205780
378,C=CCC(NC(=O)C(N)Cc1ccccc1)C(=O)O,EN300-207993
379,N[C@@H](CC1CC1)C(=O)O,EN300-206597
380,NCC1(C(=O)O)CCC1,EN300-206915
381,COc1cc(N)c(C(=O)O)cc1Br,EN300-129943
382,C[C@@H](OC(C)(C)C)[C@H](N)C(=O)O,EN300-199900
383,COc1ccc(N)c(C(=O)O)c1,EN300-209327
384,NC1CCN(c2ccc(C(=O)O)cn2)CC1,EN300-209485
385,NC1(CC(=O)O)CCN(Cc2ccccc2)CC1,EN300-196548
386,NC(C(=O)O)c1ccc2ccccc2c1,EN300-204199
387,Nc1ncc(C(=O)O)c(O)n1,EN300-192460
388,N[C@H](C(=O)O)c1ccc(O)cc1,EN300-198950
389,NCCc1ccc(C(=O)O)cc1O,EN300-216857
390,N[C@@H](Cc1ccc(O)c(Br)c1)C(=O)O,EN300-215162
391,COCC(C)(C)C(N)C(=O)O,EN300-206500
392,NCC1CCCC(C(=O)O)C1,EN300-209232
393,NCCc1nc2cc(C(=O)O)ccc2[nH]1,EN300-214697
394,NCc1nc2cc(C(=O)O)ccc2[nH]1,EN300-217073
395,NCC1(C(=O)O)CC1,EN300-140248
396,Nc1cc(F)c(Cl)cc1C(=O)O,EN300-129945
397,CCOC[C@@H](N)C(=O)O,EN300-218447
398,Cc1cc(N)c(F)c(C(=O)O)c1F,EN300-220718
399,COC1(C(N)C(=O)O)CCC1,EN300-217938
400,CN(C)CCC(N)C(=O)O,EN300-220141
401,Nc1nc(CCC(=O)O)cs1,EN300-72196
402,Nc1cc(Cl)cc(Cl)c1C(=O)O,EN300-126132
403,Nc1nc(C(=O)O)nc(N2CCOCC2)n1,EN300-214254
404,Nc1nccc2cc(C(=O)O)ccc12,EN300-221676
405,Nc1cc(-c2ccccc2)nn1CC(=O)O,EN300-222587
406,Nc1nc(C(=O)O)c(C(F)(F)F)s1,EN300-217307
407,Nc1c(Br)cc(F)cc1C(=O)O,EN300-65901
408,Cc1c(N)cncc1C(=O)O,EN300-124507
409,Cc1ccccc1C(N)C(=O)O,EN300-223309
410,NC1CCCCC1CCC(=O)O,EN300-226702
411,N[C@@H]1CCCC[C@@H]1C(=O)O,EN300-226497
412,Cc1cc(C(F)F)nc2sc(C(=O)O)c(N)c12,EN300-231199
413,Cn1nc(C(=O)O)c2c(-c3cccc(N)c3)ccnc21,EN300-232824
414,COC(=O)C[C@@H](N)C(=O)O,EN300-222542
415,NCCSc1ccccc1C(=O)O,EN300-237481
416,Nc1cc(Br)c(F)cc1C(=O)O,EN300-192860
417,Nc1ccn(CC(=O)O)n1,EN300-143044
418,Cc1cc(Cl)c(C(=O)O)cc1N,EN300-203074
419,Nc1ncnc2cc(C(=O)O)ccc12,EN300-221596
420,Nc1ccn(CCC(=O)O)n1,EN300-229448
421,Nc1nn(CCC(=O)O)cc1Cl,EN300-229449
422,CCn1cc(C(=O)O)c(N)n1,EN300-233053
423,CC(N)(C(=O)O)C1CCOCC1,EN300-225020
424,NC(Cc1ccccc1Br)C(=O)O,EN300-225067
425,CCC(C(=O)O)n1nc(N)cc1C,EN300-233230
426,CC(N)(C(=O)O)c1ccc(Br)cc1,EN300-79525
427,CCC(N)CCC(=O)O,EN300-243357
428,Nc1c(F)cccc1C(=O)O,EN300-56009
429,NCC(Cc1ccccn1)C(=O)O,EN300-70802
430,COc1cccc(CC(CN)C(=O)O)c1,EN300-233777
431,COc1ccccc1C(N)C(=O)O,EN300-70393
432,Cc1cc(F)cc(C(=O)O)c1N,EN300-59603
433,N#Cc1cnn(-c2ccc(C(=O)O)cc2)c1N,EN300-50528
434,Nc1cccc(C(=O)O)c1F,EN300-103381
435,NC1(C(=O)O)CCS(=O)(=O)CC1,EN300-104482
436,Nc1cc(C(=O)O)ccc1-n1cncn1,EN300-225277
